county,region,population,demand_acft,supply_acft,deficit_acft,deficit_pct,severity_tier,data_centers,semi_fabs,total_facilities
SABINE,I,11249,2626,5533,0,0.0,None,0,0,0
SAN AUGUSTINE,I,8917,5021,4329,2137,42.56,Severe,0,0,0
SAN JACINTO,H,37614,4644,5545,0,0.0,None,0,0,0
SAN PATRICIO,N,75451,71230,58590,12640,17.75,Moderate,0,0,0
SAN SABA,K,6722,10715,11987,0,0.0,None,0,0,0
SCHLEICHER,F,4350,3541,3541,0,0.0,None,0,0,0
SCURRY,F,26236,12011,4200,7811,65.03,Critical,0,0,0
SHACKELFORD,G,3667,2074,2154,233,11.23,Moderate,0,0,0
SHELBY,I,33095,29238,16132,14991,51.27,Critical,0,0,0
SHERMAN,A,3853,251881,213328,38831,15.42,Moderate,0,1,1
SMITH,D,315587,57183,57866,2343,4.1,Low,2,0,2
SOMERVELL,G,12013,73704,38982,36292,49.24,Severe,0,0,0
STARR,M,97107,38964,14554,24663,63.3,Critical,0,0,0
STEPHENS,G,10563,5925,4625,2367,39.95,Severe,0,0,0
STERLING,F,1275,1967,1967,0,0.0,None,0,0,0
STONEWALL,G,1504,1251,900,360,28.78,Severe,0,0,0
SUTTON,F,4279,3427,3427,0,0.0,None,0,0,0
SWISHER,O,8744,102139,35659,70822,69.34,Critical,0,0,0
TARRANT,C,2799127,569340,375397,202090,35.5,Severe,4,1,5
TAYLOR,G,156822,28884,14911,14258,49.36,Severe,0,0,0
TERRELL,E,1069,1705,1861,416,24.4,Moderate,0,0,0
TERRY,O,16108,137949,95056,43079,31.23,Severe,0,0,0
THROCKMORTON,G,1646,1061,779,362,34.12,Severe,0,0,0
TITUS,D,51665,80139,60003,35810,44.68,Severe,0,0,0
TOM GREEN,F,154230,70090,61516,9266,13.22,Moderate,0,0,0
TRAVIS,K,1936583,377848,414772,25866,6.85,Low,1,26,27
TRINITY,H,17473,2701,5126,0,0.0,None,0,0,0
TYLER,I,22396,4221,10757,0,0.0,None,0,0,0
UPSHUR,D,52128,8135,12917,285,3.5,Low,0,0,0
UPTON,F,4272,15864,17569,0,0.0,None,0,0,0
UVALDE,L,36257,75323,30867,44779,59.45,Critical,0,0,0
VAL VERDE,J,71566,19361,17561,6525,33.7,Severe,0,0,0
VAN ZANDT,D,72817,11240,19947,730,6.49,Low,0,0,0
VICTORIA,L,109785,77740,39058,45602,58.66,Critical,0,0,0
WALKER,H,80050,14988,31999,0,0.0,None,0,0,0
WALLER,H,88736,35478,33151,2343,6.6,Low,0,0,0
WARD,F,13029,10687,13464,2352,22.01,Moderate,0,0,0
WASHINGTON,G,41664,10269,8709,2107,20.52,Moderate,0,0,0
WEBB,M,530330,84646,80976,7075,8.36,Low,0,0,0
WHARTON,K,50804,282257,215342,69691,24.69,Moderate,0,0,0
WHEELER,A,6239,19334,20429,47,0.24,Low,0,0,0
WICHITA,B,147171,63226,38106,27734,43.86,Severe,0,0,0
WILBARGER,B,16208,41634,38398,3531,8.48,Low,0,0,0
WILLACY,M,34840,94530,26471,70215,74.28,Critical,0,0,0
WILLIAMSON,K,1141301,201339,112320,93710,46.54,Severe,1,4,5
WILSON,L,90016,33820,31708,7758,22.94,Moderate,0,0,0
WINKLER,F,10147,7167,7167,0,0.0,None,0,0,0
WISE,C,135797,42212,22627,19962,47.29,Severe,0,0,0
WOOD,D,48651,11997,20003,2681,22.35,Moderate,0,0,0
YOAKUM,O,12232,132824,57668,79379,59.76,Critical,0,0,0
YOUNG,B,21972,6516,4134,2567,39.4,Severe,0,0,0
ZAPATA,M,26365,10111,7503,3966,39.22,Severe,0,0,0
ZAVALA,L,17521,52954,33292,20733,39.15,Severe,0,0,0
