county,region,population_2020,population_2030,population_2040,population_2050,population_2060,population_2070,unmet_needs_2020_acft,unmet_needs_2030_acft,unmet_needs_2040_acft,unmet_needs_2050_acft,unmet_needs_2060_acft,unmet_needs_2070_acft,severity_pct,severity_tier,data_centers,semi_fabs,total_facilities
MONTGOMERY,H,627917,811252,1019278,1267916,1576135,1946063,7012,27645,52394,83518,122759,169987,42.04,Severe,1,0,1
MOORE,A,25513,28864,32429,36050,39824,43690,10522,51384,54658,52778,50285,51003,32.95,Severe,0,0,0
MORRIS,D,13364,13612,13886,14293,14618,14942,1005,1003,1000,999,999,999,3.43,Low,0,0,0
MOTLEY,O,1212,1212,1212,1212,1212,1212,0,0,0,0,0,0,0.0,None,0,0,0
NACOGDOCHES,I,72136,81040,89815,99155,109035,119364,11445,9374,7046,7607,8390,9517,25.05,Severe,0,0,0
NAVARRO,C,52505,59556,65958,74213,83221,99056,217,262,355,1775,3321,5664,10.8,Moderate,1,0,1
NEWTON,I,14445,14445,14445,14445,14445,14445,115,59,0,0,0,0,0.0,None,0,0,0
NOLAN,G,16134,17039,17657,18325,18863,19325,8824,8894,8893,8948,8994,9045,58.89,Critical,0,0,0
NUECES,N,374157,407534,428513,440797,449936,456056,5971,15298,18032,19749,21726,23158,14.19,Moderate,0,2,2
OCHILTREE,A,11305,12158,13075,14061,15122,16264,0,0,1,197,563,824,0.22,Low,0,0,0
OLDHAM,A,2230,2376,2376,2376,2376,2376,0,0,0,0,0,0,0.0,None,0,0,0
ORANGE,I,86327,90233,92984,94848,96269,97298,526,526,526,526,526,526,0.81,Low,0,0,0
PALO PINTO,G,30535,32771,34280,35675,36739,37579,3666,4119,4118,4212,4300,4423,36.83,Severe,0,1,1
PANOLA,I,25111,26378,27154,27873,28412,28832,982,982,982,982,982,982,7.92,Low,0,0,0
PARKER,C,201491,260194,276979,360125,472097,593000,2844,9035,13244,24002,39331,55985,38.2,Severe,0,0,0
PARMER,O,11424,12648,13748,14827,16091,17244,122909,161748,161748,161748,160988,160887,78.47,Critical,0,0,0
PECOS,F,17718,19224,20802,22021,23109,24090,3500,3500,3500,2000,600,0,1.27,Low,0,0,0
POLK,H,51870,57943,62722,66796,70120,72799,0,0,0,0,0,0,0.0,None,0,0,0
POTTER,A,134031,148960,164757,180486,197638,215701,0,3749,9043,15202,20616,24263,21.49,Moderate,1,0,1
PRESIDIO,E,8692,9445,10174,10972,11688,12367,0,0,0,0,0,0,0.0,None,0,0,0
RAINS,D,11888,12605,12809,12947,13007,13035,1,2,15,20,23,65,0.75,Low,0,0,0
RANDALL,A,134269,150044,165835,182010,199219,217095,0,2755,7105,12204,17395,20766,20.59,Moderate,0,0,0
REAGAN,F,3853,4303,4571,4812,4980,5102,0,0,0,0,0,0,0.0,None,0,0,0
REAL,J,3329,3329,3329,3329,3329,3329,143,139,136,135,135,135,15.92,Moderate,0,0,0
RED RIVER,D,12976,12976,12976,12976,12976,12976,2575,2569,2560,2559,2557,2557,37.53,Severe,0,0,0
REEVES,F,15125,16193,17057,17650,18106,18443,10507,10518,10029,7837,5742,4147,10.57,Moderate,0,0,0
REFUGIO,L,7687,7929,7985,8119,8175,8213,0,0,0,0,0,0,0.0,None,0,0,0
ROBERTS,A,1003,1047,1047,1047,1047,1047,0,0,0,0,0,0,0.0,None,0,0,0
ROBERTSON,G,19694,22035,24731,26441,28217,30009,12932,16338,17335,18050,18262,18502,12.43,Moderate,0,0,0
ROCKWALL,C,119410,160315,213619,246938,291850,325052,126,4820,9399,13808,19392,24256,30.3,Severe,0,1,1
RUNNELS,F,10883,11300,11300,11300,11300,11300,440,442,425,425,427,436,7.91,Low,0,0,0
RUSK,I,59272,66067,72669,79763,87138,94780,1169,1530,1468,1417,1496,1613,2.23,Low,0,0,0
SABINE,I,11217,11249,11249,11249,11249,11249,0,0,0,0,0,0,0.0,None,0,0,0
SAN AUGUSTINE,I,8917,8917,8917,8917,8917,8917,3555,2746,1866,2137,2438,2438,42.56,Severe,0,0,0
SAN JACINTO,H,29610,32627,34996,37614,39789,41714,0,0,0,0,0,0,0.0,None,0,0,0
SAN PATRICIO,N,68760,72114,74043,75451,76405,77049,1920,7732,10042,12640,15264,18165,17.75,Moderate,0,0,0
SAN SABA,K,6484,6793,6833,6722,6879,7039,0,0,0,0,0,0,0.0,None,0,0,0
SCHLEICHER,F,3811,4106,4259,4350,4406,4440,0,0,0,0,0,0,0.0,None,0,0,0
SCURRY,F,19911,22497,24249,26236,28246,30322,7499,7520,7587,7811,8059,8369,65.03,Critical,0,0,0
SHACKELFORD,G,3558,3666,3657,3667,3667,3667,354,539,349,233,119,34,11.23,Moderate,0,0,0
SHELBY,I,27461,29532,31362,33095,34715,36213,6556,8837,11609,14991,19113,19123,51.27,Critical,0,0,0
